cluster,gene,pvals_adj
32,DCN,7.591582649217254e-98
32,LGALS1,4.114425870808542e-80
32,DES,0.999988654760738
32,SYNPO2,0.999988654760738
33,CSRP1,1.0894680611399442e-288
33,DES,0.006275853921851814
33,ACTA2,0.999983805703575
33,SYNPO2,0.999983805703575
34,RHOB,3.5571884156062497e-211
34,MFAP4,4.721020497390999e-52
34,ACTA2,0.9998742488458733
34,FLNA,0.9998742488458733
35,SFTPB,1.3865361849990978e-220
35,MT-CO3,2.4684051895732972e-133
35,CXCL14,1.903098616303408e-26
35,MT-ATP6,2.6118754291403883e-15
36,SPARC,5.315087752200693e-187
36,SERPINE1,0.9999690979475717
36,MCAM,0.9999690979475717
36,MICAL2,0.9999690979475717
37,ZFP36L2,1.0310059648850046e-145
37,RGCC,0.9999882226598743
37,KLF2,0.9999882226598743
37,PKD2,0.9999882226598743
38,VIM,0.0
38,DES,0.9999836949737698
38,FLNA,0.9999836949737698
38,SYNPO2,0.9999836949737698
39,TIMP3,1.4220380239780917e-195
39,DES,0.9999724201659091
39,SOCS3,0.9999724201659091
39,SORBS1,0.9999724201659091
40,FOS,8.203928087028069e-244
40,ACTA2,0.9999905233594689
40,ADAMTS1,0.9999905233594689
40,MCAM,0.9999905233594689
41,MGP,0.0
41,ACTA2,0.9999624738593863
41,ADAMTS1,0.9999624738593863
41,DES,0.9999624738593863
42,DEPP1,1.3386303735873744e-221
42,AQP1,0.9999791904355494
42,ADAMTS1,0.9999791904355494
42,EPAS1,0.9999791904355494
43,MYL9,2.898675585568376e-183
43,MYL6,1.544463769848293e-51
43,COL3A1,2.6962369972519597e-06
43,DES,0.17996675686912983
44,CLU,1.5600296750394785e-248
44,DES,0.00562231886757088
44,ACTA2,0.999964139365641
44,SPARCL1,0.999964139365641
45,VIM,4.572175407043476e-134
45,MT-CO3,6.081370106146883e-82
45,RAB11FIP1,0.9999889562161375
45,PRPF6,0.9999889562161375
46,SRGN,4.61506359719113e-177
46,CD69,0.999979570440454
46,SFTPA1,0.999979570440454
46,SOCS3,0.999979570440454
47,CD74,4.897470880273832e-63
47,IGHG1,9.521066116195868e-41
47,THBS1,0.9999322386711154
47,GPX3,0.9999322386711154
48,NR4A1,4.7115019561439025e-81
48,EGR1,5.024338491133964e-69
48,JCHAIN,5.060131418733238e-05
