,RAMP2,MS4A2,label
83,1.2155071,0.0,Xseg
84,1.9085625,0.0,Xseg
85,0.054473232,0.0,Xseg
86,0.20721082,0.0,Xseg
87,1.4262995,0.0,Xseg
88,1.0371258,0.0,Xseg
89,1.5318377,0.0,Xseg
90,0.0,0.79041916,Xseg
91,0.0,1.9791583,Xseg
92,0.0,1.2563102,Xseg
93,1.3333356,0.0,Xseg
94,0.95553434,0.0,Xseg
95,2.0765097,0.0,Xseg
96,1.1534007,0.0,Xseg
97,0.8233146,0.0,Xseg
98,1.4268985,0.0,Xseg
99,0.0,1.8578261,Xseg
100,2.03125,0.0,Xseg
101,0.0,0.88464403,Xseg
102,0.9285714,0.0,Xseg
103,0.0,1.6246741,Xseg
104,0.0,1.3869578,Xseg
105,0.0,3.4782608,Xseg
106,1.5763952,0.0,Xseg
107,0.0,0.24400271,Xseg
108,0.0,1.925926,Xseg
109,0.0,0.78964484,Xseg
110,0.014595892,0.0,Xseg
111,1.1766536,0.0,Xseg
112,1.3552301,0.0,Xseg
113,0.0,0.6515245,Xseg
114,0.0,1.596243,Xseg
115,0.0,1.015625,Xseg
116,0.0,2.289873,Xseg
117,1.3390787,0.0,Xseg
118,0.0,1.2144953,Xseg
119,0.80232894,0.0,Xseg
120,1.6257446,0.0,Xseg
121,0.0,0.47213173,Xseg
122,0.0,0.5054432,Xseg
123,0.0,1.1794089,Xseg
124,0.008911621,0.0,Xseg
125,0.92509747,0.0,Xseg
126,1.4702381,0.0,Xseg
127,3.5748446,0.0,Xseg
128,0.5999814,0.0,Xseg
129,0.0,0.84516907,Xseg
130,0.7824092,0.0,Xseg
131,0.0,0.8176815,Xseg
132,0.0,2.0317197,Xseg
133,0.4106143,0.0,Xseg
134,0.025585815,0.0,Xseg
135,0.82738733,0.0,Xseg
136,0.0,1.1578308,Xseg
137,1.5477645,0.0,Xseg
138,0.68421054,0.0,Xseg
139,0.57394916,0.0,Xseg
140,0.24408258,0.0,Xseg
141,0.6231036,0.0,Xseg
142,0.8390018,0.0,Xseg
143,0.0,1.3968291,Xseg
144,0.0,0.7249422,Xseg
145,3.0319858,0.0,Xseg
146,0.0,1.5407407,Xseg
147,1.4246236,0.0,Xseg
148,0.0,1.2028422,Xseg
149,0.8285404,0.0,Xseg
150,0.8762336,0.0,Xseg
151,0.0,1.6077441,Xseg
152,0.0,1.1192023,Xseg
153,0.6685029,0.0,Xseg
154,0.81526005,0.0,Xseg
155,1.6830873,0.0,Xseg
156,0.5994299,0.0,Xseg
157,1.0066248,0.0,Xseg
158,0.0,1.800983,Xseg
159,0.0,0.7217629,Xseg
160,0.0,1.3419355,Xseg
161,0.0,2.2646506,Xseg
162,0.0,1.8241556,Xseg
