Gene Pair,bin2cell,bins,enact,8x8,Xseg,16x16,08x08,02x02
MS4A1-RAMP2,0.0007630675314765,0.0071428571428571,0.002423441286627,0.0017319016279875,0.00196078431372549,0.0071428571428571,0.0018867924528301,0.0
MS4A1-CLDN5,0.003221649484536,0.0090217084860445,0.0040839056989047,0.0031536697247706,0.0038068046633357128,0.0090217084860445,0.0017517517517517,0.0004596644449551
MS4A1-VWF,0.0051533110023189,0.0141530296329057,0.0076425631981187,0.0047159218504379,0.006028938906752411,0.0141530296329057,0.0029285435376805,0.0
MS4A1-CDH5,0.0018011527377521,0.0085610800131708,0.003718240033051,0.0022587931590835,0.002112490097702667,0.0085610800131708,0.0005844535359438,0.0
MS4A1-ADH1B,0.0054884742041712,0.0211703139866793,0.0104479974671521,0.0065885797950219,0.007249378624689312,0.0211703139866793,0.0061992304403591,0.0001977848101265
MS4A1-OGN,0.0022641509433962,0.0067773636055574,0.003027027027027,0.0023688663282571,0.001670843776106934,0.0067773636055574,0.0018012608826178,0.0002730002730002
MS4A1-SFRP2,0.0022632968691059,0.0082587749483826,0.0049848287819679,0.0030477480528276,0.004966887417218543,0.0082587749483826,0.0021103406692794,0.0
MS4A1-CPA3,0.0009878169245966,0.0072485653881002,0.0034253092293054,0.0014810426540284,0.0024509803921568627,0.0072485653881002,0.0016068559185859,0.000243309002433
MS4A1-MS4A2,0.0008354218880534,0.0016006402561024,0.0014378145219266,0.0007570022710068,0.001197246333433104,0.0016006402561024,0.000349528137015,0.0
MS4A1-KIT,0.0020256583389601,0.0069908814589665,0.0027434842249657,0.0018126888217522,0.0029717682020802376,0.0069908814589665,0.0024436600597339,0.0
MS4A1-IL1RL1,0.0,0.0012787723785166,0.0004965243296921,0.0003966679888932,0.00030883261272390367,0.0012787723785166,0.0,0.0
MS4A1-RHEX,0.0004347826086956,0.0016906170752324,0.0004987531172069,0.0004118616144975,0.0009357454772301934,0.0016906170752324,0.0,0.0
TNFRSF13B-CLDN5,0.0,0.0004376367614879,0.0007614213197969,0.0013029315960912,0.00031625553447185326,0.0004376367614879,0.0,0.0
TNFRSF13B-VWF,0.0004502476361999,0.0013434841021047,0.0002584647195657,0.0019944156362185,0.0003191828917969997,0.0013434841021047,0.0003863987635239,0.0
TNFRSF13B-CDH5,0.0,0.0018231540565177,0.0014306151645207,0.0008748906386701,0.002036659877800407,0.0018231540565177,0.0008960573476702,0.0
TNFRSF13B-ADH1B,0.0015467904098994,0.0021574973031283,0.000886132033673,0.004644681839294,0.0006153846153846154,0.0021574973031283,0.0005173305742369,0.0
TNFRSF13B-OGN,0.0004805382027871,0.0042060988433228,0.002163331530557,0.002004008016032,0.0016604400166044002,0.0042060988433228,0.0016323865491348,0.0
TNFRSF13B-SFRP2,0.0010405827263267,0.0044910179640718,0.0052941176470588,0.0030090270812437,0.005857740585774058,0.0044910179640718,0.0022189349112426,0.0
TNFRSF13B-CPA3,0.0038084874863982,0.0090231463318948,0.0059116365899191,0.0042462845010615,0.005314437555358724,0.0090231463318948,0.0049523809523809,0.0003736920777279
TNFRSF13B-MS4A2,0.0023952095808383,0.0016025641025641,0.0006720430107526,0.0058997050147492,0.0009970089730807576,0.0016025641025641,0.0,0.0
TNFRSF13B-KIT,0.0035928143712574,0.0049875311720698,0.0026972353337828,0.0029629629629629,0.003827751196172249,0.0049875311720698,0.0007974481658692,0.0
TNFRSF13B-IL1RL1,0.0024630541871921,0.0074906367041198,0.0033081285444234,0.0017889087656529,0.0026791694574681848,0.0074906367041198,0.0023995200959808,0.0005780346820809
VPREB3-VWF,0.0052264808362369,0.0025641025641025,0.0039024390243902,0.0004389815627743,0.0013315579227696406,0.0025641025641025,0.0025284450063211,0.0
VPREB3-ADH1B,0.0026178010471204,0.0063211125158027,0.0025484199796126,0.0005184033177812,0.003443526170798898,0.0063211125158027,0.0024706609017912,0.0
VPREB3-CPA3,0.0,0.0015948963317384,0.0011376564277588,0.0013054830287206,0.0015503875968992248,0.0015948963317384,0.0,0.0
VPREB3-SLC18A2,0.002079002079002,0.0046439628482972,0.0011614401858304,0.00084388185654,0.0,0.0046439628482972,0.0015384615384615,0.0
RAMP2-ADH1B,0.0,0.0035523978685612,0.0,0.002932551319648,0.0,0.0035523978685612,0.0,0.0
RAMP2-OGN,0.0,0.0019455252918287,0.0013908205841446,0.0037846930193439,0.0037105751391465678,0.0019455252918287,0.0,0.0
RAMP2-CPA3,0.0,0.002375296912114,0.0019102196752626,0.0024570024570024,0.002828854314002829,0.002375296912114,0.0,0.0
RAMP2-MS4A2,0.0,0.0012492192379762,0.0,0.0016366612111292,0.0007407407407407407,0.0012492192379762,0.0,0.0
RAMP2-KIT,0.0005324813631522,0.0026892047637341,0.0008949880668257,0.0006090133982947,0.001405152224824356,0.0026892047637341,0.0007127583749109,0.0
RAMP2-IL1RL1,0.0,0.0009208103130755,0.0007369196757553,0.0011049723756906,0.0,0.0009208103130755,0.0,0.0
CLDN5-ADH1B,0.0006093845216331,0.0021626297577854,0.0006944444444444,0.0006341154090044,0.0005015045135406219,0.0021626297577854,0.0004206983592763,0.0004140786749482
CLDN5-OGN,0.0,0.0020140986908358,0.0008795074758135,0.0012771392081736,0.0,0.0020140986908358,0.0009930486593843,0.0
CLDN5-CPA3,0.0,0.0,0.001763668430335,0.0053727333781061,0.00129366106080207,0.0,0.0,0.0
CLDN5-KIT,0.0009832841691248,0.0007363770250368,0.0011299435028248,0.0016411378555798,0.000819000819000819,0.0007363770250368,0.000709219858156,0.0
