Method,Mean_Relative_Spurious_Coexpression,Mean_Counts_Per_Cell
Bin2Cell,1.7467216876500122,129.56506042042977
ENACT,1.7821230631885328,148.13597106933594
Xseg,1.574761964199915,143.67245483398438
16x16,1.9474275432810104,280.63299560546875
8x8,1.5858038686492375,70.43939208984375
