Gene1,Gene2,Cell_Coexpression,Nuclei_Coexpression,Relative_Increase
LCP1,DUSP6,0.03968253968253968,0.004524886877828055,8.769841269841269
MMP2,DUSP6,0.03968253968253968,0.004524886877828055,8.769841269841269
C1S,ANXA7,0.06086956521739131,0.007042253521126761,8.643478260869566
SGK1,FOS,0.03571428571428571,0.004132231404958678,8.642857142857142
MYL9,TTC3,0.031088082901554404,0.0036231884057971015,8.580310880829016
ILF3,NIPSNAP2,0.045871559633027525,0.0053475935828877,8.577981651376147
C1QA,TFF3,0.03550295857988166,0.004149377593360996,8.55621301775148
MAST4,C1R,0.021917808219178082,0.0025906735751295338,8.460273972602739
PECAM1,AHR,0.023166023166023165,0.0027397260273972603,8.455598455598455
MYL9,SPCS1,0.0392156862745098,0.004672897196261682,8.392156862745098
DEPP1,MAT2A,0.041666666666666664,0.004975124378109453,8.375
NBL1,HNRNPD,0.05434782608695652,0.006493506493506494,8.369565217391303
TRIQK,LUM,0.00935672514619883,0.001122334455667789,8.336842105263157
A2M,VSTM2L,0.07936507936507936,0.009523809523809525,8.333333333333332
AEBP1,ROMO1,0.04716981132075472,0.005714285714285714,8.254716981132075
MYL9,ABCC1,0.04195804195804196,0.00510204081632653,8.223776223776225
S100A16,LCN2,0.2,0.024390243902439025,8.2
CDH11,GNB2,0.05128205128205128,0.006289308176100629,8.153846153846153
SCGB1A1,LRRN4,0.038461538461538464,0.004739336492890996,8.115384615384615
SEC31A,ZYX,0.051470588235294115,0.006369426751592357,8.080882352941176
SOD2,URI1,0.058823529411764705,0.0072992700729927005,8.058823529411764
NUCB1,CLEC2D,0.03571428571428571,0.004464285714285714,8.0
CD68,CLEC2D,0.03571428571428571,0.004464285714285714,8.0
NBL1,ANKHD1,0.04854368932038835,0.006097560975609756,7.961165048543689
DDIT4,FAM120A,0.04065040650406504,0.005128205128205128,7.926829268292683
CD52,UTRN,0.04316546762589928,0.00546448087431694,7.899280575539569
SERPINE1,NME3,0.037037037037037035,0.004694835680751174,7.888888888888888
NBL1,SCPEP1,0.046296296296296294,0.0058823529411764705,7.87037037037037
LAPTM5,ITGA3,0.053763440860215055,0.00684931506849315,7.849462365591398
ADA2,LACTB2,0.028409090909090908,0.0036363636363636364,7.8125
TNFAIP3,DYNLL2,0.028409090909090908,0.0036363636363636364,7.8125
NIPSNAP2,ILF3,0.04672897196261682,0.006024096385542169,7.757009345794391
MIF,ASAH1,0.05384615384615385,0.006944444444444444,7.753846153846155
COL6A2,CTNND1,0.03015075376884422,0.0038910505836575876,7.748743718592964
LITAF,LPP,0.05747126436781609,0.007462686567164179,7.7011494252873565
CLU,C16orf72,0.06060606060606061,0.007874015748031496,7.696969696969697
COL6A3,SERPINB1,0.05660377358490566,0.007407407407407408,7.6415094339622645
TRIP12,ICA1,0.043478260869565216,0.005714285714285714,7.608695652173913
SPI1,GRK2,0.02510460251046025,0.0033003300330033004,7.606694560669456
