Model,Median Confidence Score,Mean Confidence Score
ENACT,0.203615548102417,0.3100007665068147
B2C,0.2089206405157567,0.3056404852077965
SC,0.8790229355204373,0.7175153689621631
HCRC,0.9794326934619704,0.7414658180173243
Tonsil,0.9709786879393184,0.7424499792655274
